item_id,title,price,end_date,item_type,total_bids,url,seller
719256326,Rörstrand Zoégas Mon Amie Marianne Westman plåtburk kaffeburk + kaffe slutsåld,595,2026-03-01 09:39:31.674000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719256326/rorstrand-zoégas-mon-amie-marianne-westman-platburk-kaffeburk-kaffe-slutsald,Fina_ting_
719258465,Zoegas & Rörstrand Jubileumsutgåva Limited Edition Mon Amie kaffeburk plåt N,499,2026-03-01 09:44:14.763000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719258465/zoegas-rorstrand-jubileumsutgava-limited-edition-mon-amie-kaffeburk-plat-n,SaraB77
719246332,Zoegas Mon Amie kaffeburk och kaffe,750,2026-03-01 09:56:56.096000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341380/719246332/zoegas-mon-amie-kaffeburk-och-kaffe,milolilo75
719265207,Rörstrand Zoégas Mon Amie Marianne Westman plåtburk kaffeburk NY slutsåld,399,2026-03-01 10:10:23.568000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719265207/rorstrand-zoégas-mon-amie-marianne-westman-platburk-kaffeburk-ny-slutsald,Guldstiffe
719130620,Rörstrand Zoégas Mon Amie kaffeburk,555,2026-03-01 10:13:57.182000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719130620/rorstrand-zoégas-mon-amie-kaffeburk,Evelina7
719267599,Rörstrand Zoégas Mon Amie Marianne Westman plåtburk kaffeburk NY slutsåld,399,2026-03-01 10:15:26.142000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719267599/rorstrand-zoégas-mon-amie-marianne-westman-platburk-kaffeburk-ny-slutsald,Guldstiffe
719231248,Rörstrand Mon Amie x Zoégas plåtburk,429,2026-03-01 10:26:18.656000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719231248/rorstrand-mon-amie-x-zoégas-platburk,Sandraolss
719272895,Rörstrand Mon Amie x Zoégas plåtburk,500,2026-03-01 10:50:45.034000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719272895/rorstrand-mon-amie-x-zoégas-platburk,Sandraolss
719268838,NY Rörstrand Zoégas Mon Amie Marianne Westman kaffeburk plåtburk i originalförp.,555,2026-03-01 10:54:22.306000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/293001/719268838/ny-rorstrand-zoégas-mon-amie-marianne-westman-kaffeburk-platburk-i-originalforp-,lenalottis
719280244,Mon Amie kaffeburk,550,2026-03-01 11:00:24.139782500+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719280244/mon-amie-kaffeburk,Rebecca_andersson
719257329,Rörstrand Mon AMIE x Zoegas kaffeburk i plåt,400,2026-03-01 11:38:31.346000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719257329/rorstrand-mon-amie-x-zoegas-kaffeburk-i-plat,morhanna
719282236,Rörstrand Mon AMIE x Zoegas kaffeburk i plåt,400,2026-03-01 11:41:16.149000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719282236/rorstrand-mon-amie-x-zoegas-kaffeburk-i-plat,morhanna
719271157,"Zoegas plåtburk med kaffe, design Rörstrand Mon Amie",650,2026-03-01 12:08:59.516000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341380/719271157/zoegas-platburk-med-kaffe-design-rorstrand-mon-amie,mollin
719293690,Rörstrand Zoégas Mon Amie kaffeburk -NY- Mon Amie Marianne Westman plåtburk,495,2026-03-01 12:13:05.619000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719293690/rorstrand-zoégas-mon-amie-kaffeburk-ny-mon-amie-marianne-westman-platburk,mifredhawks_84
719303297,Rörstrand Zoégas Mon Amie kaffeburk -NY- Mon Amie Marianne Westman plåtburk,495,2026-03-01 12:34:41.917000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719303297/rorstrand-zoégas-mon-amie-kaffeburk-ny-mon-amie-marianne-westman-platburk,mifredhawks_84
719286145,Mon Amie Rörstrand plåtburk,480,2026-03-01 12:35:32.401000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719286145/mon-amie-rorstrand-platburk,Derrys
719281962,Rörstrand Mon AMIE x Zoegas kaffeburk i plåt,400,2026-03-01 12:40:18.631000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719281962/rorstrand-mon-amie-x-zoegas-kaffeburk-i-plat,morhanna
719292645,Mon Amie Zoega kaffeburk med kaffe,500,2026-03-01 12:50:42.139000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719292645/mon-amie-zoega-kaffeburk-med-kaffe,jekama
719277639,MON AMIE kaffeburk och kaffe ZOEGAS jubileum 2026,649,2026-03-01 13:05:53.459000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/293001/719277639/mon-amie-kaffeburk-och-kaffe-zoegas-jubileum-2026,Inger_62
719263852,Mon Amie kaffeburk,550,2026-03-01 13:25:15.077000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719263852/mon-amie-kaffeburk,Rebecca_andersson
719313268,Zoégas Mon Amie kaffeburk,500,2026-03-01 13:26:08.601000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/293001/719313268/zoégas-mon-amie-kaffeburk,nordnic
